 GFunction for borehole field from TRNSYS calc
 NrBoreholes:           4
 Rb:   2.00000000000000     
 *Log(t/tES); g-Value:
 -4.8548  5.5673
 -4.8505  5.5751
 -4.8461  5.5830
 -4.8418  5.5909
 -4.8375  5.5987
 -4.8332  5.6065
 -4.8290  5.6142
 -4.8247  5.6219
 -4.8205  5.6296
 -4.8163  5.6373
 -4.8121  5.6448
 -4.8079  5.6524
 -4.8038  5.6600
 -4.7996  5.6675
 -4.7955  5.6750
 -4.7914  5.6825
 -4.7873  5.6898
 -4.7832  5.6973
 -4.7792  5.7046
 -4.7751  5.7120
 -4.7711  5.7193
 -4.7671  5.7266
 -4.7631  5.7339
 -4.7591  5.7410
 -4.7552  5.7483
 -4.7512  5.7553
 -4.7473  5.7626
 -4.7434  5.7697
 -4.7395  5.7767
 -4.7356  5.7838
 -4.7317  5.7909
 -4.7279  5.7979
 -4.7240  5.8048
 -4.7202  5.8118
 -4.7164  5.8187
 -4.7126  5.8256
 -4.7088  5.8325
 -4.7051  5.8393
 -4.7013  5.8461
 -4.6976  5.8530
 -4.6939  5.8597
 -4.6901  5.8664
 -4.6864  5.8732
 -4.6828  5.8798
 -4.6791  5.8866
 -4.6754  5.8932
 -4.6718  5.8998
 -4.6682  5.9064
 -4.6645  5.9131
 -4.6609  5.9196
 -4.6574  5.9261
 -4.6538  5.9326
 -4.6502  5.9391
 -4.6467  5.9455
 -4.6431  5.9520
 -4.6396  5.9584
 -4.6361  5.9648
 -4.6326  5.9712
 -4.6291  5.9776
 -4.6256  5.9839
 -4.6221  5.9902
 -4.6187  5.9965
 -4.6152  6.0028
 -4.6118  6.0090
 -4.6084  6.0152
 -4.6050  6.0214
 -4.6016  6.0276
 -4.5982  6.0337
 -4.5948  6.0399
 -4.5915  6.0460
 -4.5881  6.0521
 -4.5848  6.0581
 -4.5815  6.0642
 -4.5781  6.0702
 -4.5748  6.0763
 -4.5715  6.0823
 -4.5683  6.0882
 -4.5650  6.0942
 -4.5617  6.1001
 -4.5585  6.1060
 -4.5552  6.1120
 -4.5520  6.1179
 -4.5488  6.1238
 -4.5456  6.1296
 -4.5424  6.1354
 -4.5392  6.1412
 -4.5360  6.1470
 -4.5328  6.1528
 -4.5297  6.1585
 -4.5265  6.1643
 -4.5234  6.1699
 -4.5202  6.1756
 -4.5171  6.1813
 -4.5140  6.1870
 -4.5109  6.1926
 -4.5078  6.1982
 -4.5047  6.2039
 -4.5017  6.2095
 -4.4986  6.2150
 -4.4955  6.2206
 -4.4925  6.2262
 -4.4895  6.2316
 -4.4864  6.2371
 -4.4834  6.2426
 -4.4804  6.2481
 -4.4774  6.2536
 -4.4744  6.2591
 -4.4715  6.2644
 -4.4685  6.2698
 -4.4655  6.2753
