	Equipos	Ocupantes	Iluminacion
0	0.09999999999999999	1.0	0.09999999999999999
1	0.09999999999999999	1.0	0.09999999999999999
2	0.09999999999999999	1.0	0.09999999999999999
3	0.09999999999999999	1.0	0.09999999999999999
4	0.09999999999999999	1.0	0.09999999999999999
5	0.09999999999999999	1.0	0.09999999999999999
6	0.09999999999999999	1.0	0.09999999999999999
7	0.09999999999999999	1.0	0.09999999999999999
8	0.3	0.2507122507122508	0.3
9	0.3	0.2507122507122508	0.3
10	0.3	0.2507122507122508	0.3
11	0.3	0.2507122507122508	0.3
12	0.3	0.2507122507122508	0.3
13	0.3	0.2507122507122508	0.3
14	0.3	0.2507122507122508	0.3
15	0.3	0.2507122507122508	0.3
16	0.3	0.5014245014245016	0.3
17	0.3	0.5014245014245016	0.3
18	0.3	0.5014245014245016	0.3
19	0.5	0.5014245014245016	0.5
20	1.0	0.5014245014245016	1.0
21	1.0	0.5014245014245016	1.0
22	1.0	0.5014245014245016	1.0
23	1.0	0.5014245014245016	1.0
24	0.5	1.0	0.5
25	0.09999999999999999	1.0	0.09999999999999999
26	0.09999999999999999	1.0	0.09999999999999999
27	0.09999999999999999	1.0	0.09999999999999999
28	0.09999999999999999	1.0	0.09999999999999999
29	0.09999999999999999	1.0	0.09999999999999999
30	0.09999999999999999	1.0	0.09999999999999999
31	0.09999999999999999	1.0	0.09999999999999999
32	0.3	0.2507122507122508	0.3
33	0.3	0.2507122507122508	0.3
34	0.3	0.2507122507122508	0.3
35	0.3	0.2507122507122508	0.3
36	0.3	0.2507122507122508	0.3
37	0.3	0.2507122507122508	0.3
38	0.3	0.2507122507122508	0.3
39	0.3	0.2507122507122508	0.3
40	0.3	0.5014245014245016	0.3
41	0.3	0.5014245014245016	0.3
42	0.3	0.5014245014245016	0.3
43	0.5	0.5014245014245016	0.5
44	1.0	0.5014245014245016	1.0
45	1.0	0.5014245014245016	1.0
46	1.0	0.5014245014245016	1.0
47	1.0	0.5014245014245016	1.0
48	0.5	1.0	0.5
49	0.09999999999999999	1.0	0.09999999999999999
50	0.09999999999999999	1.0	0.09999999999999999
51	0.09999999999999999	1.0	0.09999999999999999
52	0.09999999999999999	1.0	0.09999999999999999
53	0.09999999999999999	1.0	0.09999999999999999
54	0.09999999999999999	1.0	0.09999999999999999
55	0.09999999999999999	1.0	0.09999999999999999
56	0.3	0.2507122507122508	0.3
57	0.3	0.2507122507122508	0.3
58	0.3	0.2507122507122508	0.3
59	0.3	0.2507122507122508	0.3
60	0.3	0.2507122507122508	0.3
61	0.3	0.2507122507122508	0.3
62	0.3	0.2507122507122508	0.3
63	0.3	0.2507122507122508	0.3
64	0.3	0.5014245014245016	0.3
65	0.3	0.5014245014245016	0.3
66	0.3	0.5014245014245016	0.3
67	0.5	0.5014245014245016	0.5
68	1.0	0.5014245014245016	1.0
69	1.0	0.5014245014245016	1.0
70	1.0	0.5014245014245016	1.0
71	1.0	0.5014245014245016	1.0
72	0.5	1.0	0.5
73	0.09999999999999999	1.0	0.09999999999999999
74	0.09999999999999999	1.0	0.09999999999999999
75	0.09999999999999999	1.0	0.09999999999999999
76	0.09999999999999999	1.0	0.09999999999999999
77	0.09999999999999999	1.0	0.09999999999999999
78	0.09999999999999999	1.0	0.09999999999999999
79	0.09999999999999999	1.0	0.09999999999999999
80	0.3	0.2507122507122508	0.3
81	0.3	0.2507122507122508	0.3
82	0.3	0.2507122507122508	0.3
83	0.3	0.2507122507122508	0.3
84	0.3	0.2507122507122508	0.3
85	0.3	0.2507122507122508	0.3
86	0.3	0.2507122507122508	0.3
87	0.3	0.2507122507122508	0.3
88	0.3	0.5014245014245016	0.3
89	0.3	0.5014245014245016	0.3
